বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
পদ্মা নদীর ভারতীয় অংশের নাম কি?	উঃ গঙ্গা।			
তিস্তা উৎপত্তিস্থল কোথায়?	উঃ হিমালয় পর্বত।			
বাংলাদেশের প্রধান নদী বন্দর?	উঃ নারায়নগঞ্জ।			
বাংলাদেশের নদী গবেষনা ইনস্টিটিউট কোথায়?	উঃ ফরিদপুর।			
কোন সালে ফারাক্কা ব্যারেজের নির্মান কাজ শেষ হয়?	উঃ ১৯৭৪ সালে।			
কোন সাল থেকে ফারাক্কা বাঁধ চালু হয়?	উঃ ১৯৭৫ সালে।			
ফারাক্কা বাঁধের দৈঘ্য কত?	উঃ ৭৩৬৩ ফুট ৬ ইঞ্চি।			
বাংলাদেশের প্রাচীন শহর কোনটি?	উঃ পুন্ড্রবর্ধন। বর্তমানে মহাস্থানগড়।			
মহাস্থানগড় কোথায় অবস্থিত?	উঃ বগুড়া।			
খোদার পাথর ভিটা কোথায় অবস্থিত?	উঃ মহাস্থানগড়।			
বৈরাগীর ভিটা কোথায় অবস্থিত?	উঃ মহাস্থানগড়।			
বৈরাগীর চাল কোথায় অবস্থিত?	উঃ গাজিপুর।			
আনন্দ রাজার দীঘি কোথায় অবস্থিত?	উঃ কুমিল্লার ময়নামতিতে।			
রামুমন্দির কোথায় অবস্থিত?	উঃ কক্সবাজারের রামু থানায়।			
উত্তরা গনভবন কোথায়?	উঃ নাটোর।			
কানত্মজীর মন্দির কোথায় অবস্থিত?	উঃ দিনাজপুর।			
বাঘা জামে মসজিদ কোথায় অবস্থিত?	উঃ রাজশাহী।			
পানাম নগর কোথায় অবস্থিত?	উঃ সোনারগাঁয়ে।			
আফগান দুর্গ কোথায় অবস্থিত?	উঃ ঢাকা কেন্দ্রীয় কারাগারের মধ্যে।			
আহসান মঞ্জিল কে নির্মাণ করেন?	উঃ নবাব আব্দুল গনি।			
মহাস্থানগড়ের কোন যুগের শিলালিপি পাওয়া গেছে?	উঃ মৌর্য যুগের।			
সোমপুর বিহার কোথায় অবস্থিত?	উঃ নওগাঁ জেলার পাহাড়পুরে।			
পাহাড়পুরের বৌদ্ধ বিজারটি কি নামে পরিচিত?	উঃ সোমপুর বিহার।			
সোমপুর বিহার কে তৈরী করেন?	উঃ শ্রী ধর্মপাল দেব।			
সত্য পীরের ভিটা কোথায় অবস্থিত?	উঃ নওগাঁ জেলার সোমপুর বিহারে।			
শালবন বিহার কোথায় অবস্থিত?	উঃ কুমিল্লা জেলার ময়নামতিতে।			
শালবন বিহার কে তৈরী করেন?	উঃ রাজাধিরাজ ভবদেব।			
আনন্দ বিহার কোথায় অবস্থিত?	উঃ কুমিল্লা জেলার লালমাই পাহাড়ে।			
আনন্দ বিহার কে তৈরী করেন?	উঃ রাজা আনন্দ দেব।			
বাংলাদেশের সবচেয়ে প্রাচীন বৌদ্ধ বিহার কোনটি?	উঃ সীতাকোট বিহার।			
সীতাকোট বিহার কোথায় অবস্থিত?	উঃ দিনাজপুর।			
সোনারগাঁও কোন আমলে বাংলাদেশের রাজধানী ছিল?	উঃ মূঘল আমলে।			
বাংলার রাজধানী সোনারগাঁয় কে স্থাপন করেন?	উঃ ঈশা খাঁ।			
সোনারগাঁ কার নামানুসারে নামকরণ হয়েছে?	উঃ ঈশা খাঁর স্ত্রী সোনা বিবির নামে।			
সোনারগাঁর পূর্বে বাংলার রাজধানী কোথায় ছিল?	উঃ মহাস্থানগড়।			
পাঁচ বিবির মাজার কোথায় অবস্থিত?	উঃ সোনারগাঁতে।			
বাংলাদেশের একমাত্র লোকশিল্প যাদুঘরটি কোথায় অবস্থিত?	উঃ সোনারগাঁতে।			
সোনারগাঁয়ের পূর্ব নাম কি?	উঃ সুবর্ণ গ্রাম।			
ঢাকায় সর্বপ্রথম বাংলার রাজধানী হয়?	উঃ ১৬১০ সালে।			
বাংলার রাজধানী রাজস্থান থেকে ঢাকায় স্থানান্তর করেন কে?	উঃ সুবেদার ইসলাম খান।			
তাঁরা মসজিদ কোথায় অবস্থিত?	উঃ পুরানো ঢাকায়।			
বজরা শাহী মসজিদ কোথায় অবস্থিত?	উঃ নোয়াখালী জেলার বেগমগঞ্জে।			
মুজিব নগর কোথায় অবস্থিত?	উঃ মেহেরপুর।			
মহামুনি বিহার কোথায় অবস্থিত?	উঃ চট্টগ্রামের রাউজানে।			
ষাট গম্ভুজ মসজিদ কোথায় অবস্থিত?	উঃ বাগেরহাট।			
ষাট গম্ভুজ মসজিদ নির্মাণ করেন?	উঃ খান জাহান আলী।			
লালবাগ কেল্লা কে নির্মাণ শুরু করেন?	উঃ যুবরাজ মোহাম্মদ আযম।			
লালবাগ কেল্লা কে নির্মাণ শেষ করেন?	উঃ শায়েস্তা খান।			
লালবাগ কেল্লার আদি নাম কি?	উঃ আওরঙ্গবাদ দুর্গ।			
বাংলাদেশের জাতীয় ফুলের নাম কি?	উঃ শাপলা।			
বাংলাদেশের জাতীয় পশুর নাম কি?	উঃ রয়েল বেঙ্গল টাইগার।			
বাংলাদেশের জাতীয় বনের নাম কি?	উঃ সুন্দরবন।			
বাংলাদেশের জাতীয় মাছের নাম কি?	উঃ ইলিশ।			
বাংলাদেশের জাতীয় মসজিদের নাম কি?	উঃ বায়তুল মোকাররম।			
বাংলাদেশের জাতীয় বিমানবন্দর নাম কি?	উঃ হজরত শাহ জালাল (রাঃ) আর্ন্তজাতিক বিমান বন্দর।			
বাংলাদেশের জাতীয় যাদুঘর কোনটি?	উঃ শাহবাগ জাতীয় জাদুঘর।			
বাংলাদেশের জাতীয় গ্রন্থাগার কোনটি?	উঃ সুফিয়া কামাল জাতীয় গণ গ্রন্থাগার, ঢাকা।			
বাংলাদেশের জাতীয় উদ্যান কোনটি?	উঃ ভাওয়াল ন্যাশনাল উদ্যান।			
বাংলাদেশের জাতীয় কবির নাম কি?	উঃ কাজী নজরুল ইসলাম।			
বাংলাদেশের জাতীয় শিশুপার্ক কোনটি?	উঃ শহীদ জিয়া শিশু পার্ক।			
বাংলাদেশের জাতীয় খেলা কোনটি?	উঃ হা-ডু-ডু।			
বাংলাদেশের জাতীয় ফল কোনটি?	উঃ কাঁঠাল।			
বাংলাদেশের জাতীয় উৎসব কোনটি?	উঃ বাংলা বর্ষবরণ উৎসব।			
দেশের জাতীয় চিড়িয়াখানা কোথায় অবস্থিত?	উঃ রাজধানী ঢাকার মিরপুরে।			
কৃষি কাজের জন্য সর্বাপেক্ষা উপযোগী মাটি?	উঃ পলি মাটি।			
বাংলাদেশের মোট কৃষি জমির পরিমান কত?	উঃ ২,০৪,৮৪,৫৬১ একর।			
বাংলাদেশের মোট চাষাবাদযোগ্য জমির পরিমান কত?	উঃ ১,৭৭,৭১,৩৩৯ একর।			
বাংলাদেশে চাষের অযোগ্য চাষের জমির পরিমান কত?	উঃ ২৭,১৩,২২২ একর।			
বাংলাদেশের প্রধান অর্থকরী ফসল কি?	উঃ পাট।			
বাংলাদেশের দ্বিতীয় অর্থকরী ফসল কি ?	উঃ চা।			
বিশ্বে ধান উৎপাদনে বাংলাদেশের অবস্থান?	উঃ চতুর্থ।			
পাট উৎপাদনে বিশ্বে বাংলাদেশের স্থান?	উঃ প্রথম।			
সবচেয়ে বেশী পাট উৎপন্ন হয় কোন জেলায়?	উঃ ময়মনসিংহ।			
রবি শস্য বলতে বুঝায়?	উঃ শীতকালীন শস্যকে।			
খরিপ শস্য বলতে বুঝায়?	উঃ গ্রীষ্মকালীন শস্যকে।			
বাংলাদেশের অর্থনীতিতে কৃষিখাতের অবদান কত?	উঃ ২১.৯১%।			
বাংলাদেশের শস্য ভান্ডার বলা হয় কোন জেলাকে?	উঃ বরিশাল।			
বাংলাদেশে বানিজ্যিকভাবে প্রথম কখন চা চাষ করা হয়?	উঃ ১৯৫৪ সালে।			
গম গবেষণা কেন্দ্র কোন জেলায় অবস্থিত?	উঃ দিনাজপুর।			
বাংলদেশের প্রথম চা বাগান কোনটি?	উঃ সিলেটের মালনিছড়া।			
সবচেয়ে বেশী চা জন্মে কোন জেলায়?	উঃ মৌলভীবাজার জেলায়।			
বাংলাদেশের চা গবেষণা কেন্দ্র কোথায় অবস্থিত?	উঃ মৌলভীবাজার জেলার শ্রীমঙ্গলে।			
বাংলাদেশে মোট চা বাগানের সংখ্যা কত?	উঃ ১৫৯ টি।			
বাংলাদেশের সবচেয়ে বেশী রেশম উৎপন্ন হয়?	উঃ চাঁপাই নবাবগঞ্জে।			
বাংলাদেশ রেশম বোর্ড কোথায় অবস্থিত?	উঃ চাঁপাই নবাবগঞ্জে।			
বাংলাদেশে কোথায় সবচেয়ে বেশী তামাক জন্মে ?	উঃ রংপুরে।			
বাংলাদেশে কোথায় সবচেয়ে বেশী তুলা জন্মে ?	উঃ যশোরে।			
বাংলাদেশের সবচেয়ে বড় সেচ প্রকল্প কোনটি?	উঃ তিস্তা বাধ প্রকল্প।			
বাংলাদেশে ধান গবেষনা কেন্দ্রের সংক্ষিপ্ত নাম কি এবং কোথায় ?	উঃ BRRI, গাজিপুর।			
BADC বলতে কি বুঝায়?	উঃ বাংলাদেশে কৃষি উন্নয়ন সংস্থা  Bangladesh Agricultural Development Corporation
জুটন আবিস্কার করেন কে?	উঃ ডঃ মোহাম্মদ সিদ্দিকুল্লাহ।			
বাংলাদেশে মাথাপিছু আবাদী জমির পরিমান কত ?	উঃ ০.১৪ একর।			
সর্বশেষ কৃষিশুমারী অনুষ্ঠিত হয়?	উঃ ২০০৮ সালে।			
সরকার কৃষকের স্বার্থে কোন সার আমদানী নিষিদ্ধ করেছে ?	উঃ এসএসপি			
বাংলাদেশ কৃষি গবেষণা ইনষ্টিটিউট কবে প্রতিষ্ঠিত হয় ?	উঃ ১৯৭১ সালে।			
বাংলাদেশে কৃষি গবেষণা ইনষ্টিটিউট কবে তার কার্যক্রম শুরু করে ?	উঃ ১৯৭৩ সালে।			
কোন জাতের ছাগল বাংলাদেশে সর্বাপেক্ষা বেশী পাওয়া যায় ?	উঃ কৃষ্ণ বঙ্গ।			
ভারতের বিহার রাজ্যের যমুনা পাড়ের ছাগল বংশধর বাংলাদেশে কি নামে পরিচিত?	উঃ রাম ছাগল।			
মহিষ প্রজনন খামার কোথায় ?	উঃ বাগেরহাট।			
বাংলাদেশ গবাদি পশু গবেষণা ইনস্টিটিউট কোথায় অবস্থিত?	উঃ ঢাকার সাভারে।			
বাংলাদেশ কেন্দ্রিয় গো প্রজনন ও দুগ্ধ খামার কোথায় অবস্থিত?	উঃ সাভারে।			
দেশে বর্তমানে ভেটেরেনারী কলেজ চালু রয়েছে কয়টি ?	উঃ ৪টি।			
ছাগল উন্নয়ন খামার কোথায় ?	উঃ সিলেটের টিলাগড়ে।
বাংলাদেশে জনপ্রতি বনভুমির পরিমান কত?	উঃ ০.০১৮ হেক্টর।			
বাংলাদেশের বন এলাকা কটি অঞ্চলে বিভক্ত ও কি কি ?	উঃ ৪টি। যথা-  ১। পাহাড়ী বনাঞ্চল ২। ম্যনাগ্রোভ বনাঞ্চল  ৩। সমতল এলাকার শাল বনাঞ্চল ৪। গ্রামীন বন।
পাহাড়ী বনাঞ্চলের আয়তন কত ?	উঃ ১৫,৬৬,৯৩৫ একর।			
ম্যানগ্রোভ বনের আয়তন কত ?	উঃ ১৪,০৫,০০০ একর।			
শাল বনাঞ্চলের আয়তন কত ?	উঃ ২,৮১,৯৫৩ একর।			
বাংলাদেশের মোট আয়তনের কত অংশ বনাঞ্চল?	উঃ প্রায় ১৭ শতাংশ।			
বাংলাদেশের বৃহত্তম বনভূমি কোনটি?	উঃ পার্বত্য চট্টগ্রামের বনভূমি।			
বাংলাদেশের দ্বিতীয় বৃহত্তম বনভুমি কোনটি ?	উঃ সুন্দরবন। (একক হিসেবে বৃহত্তম)			
বাংলাদেশের তৃতীয় বনাঞ্চল কোনটি ?	উঃ মধুপুর জঙ্গল।			
সুন্দরবনের প্রধান বৃক্ষ কোনটি?	উঃ সুন্দরী।			
কোন কাঠ থেকে বাক্স ও দিয়াশলাইয়ের কাঠি প্রস্তুত হয়?	উঃ গেওয়া।			
ধুন্দল গাছের কাঠ থেকে কি প্রস্তুত করা হয়?	উঃ পেন্সিল।			
কোন গাছের ছাল থেকে রং প্রস্তুত করা হয় ?	উঃ গরান।			
কোন জাতীয় গাছ সবচেয়ে বেশী বৃদ্ধি পায়?	উঃ বাঁশ জাতীয় গাছ।			
ভাওয়াল বনাঞ্চল কোথায় অবস্থিত?	উঃ গাজীপুর জেলায়।			
মধুপুর বনাঞ্চলের প্রধান বৃক্ষ কি?	উঃ শাল বা গজারী।			
কোন গাছ কে সুর্যের কন্যা বলা হয়?	উঃ তুলা গাছকে।			
দেশের কোন বনাঞ্চলকে চিরহরিৎ বন বলা হয়?	উঃ পার্বত্য বনাঞ্চল।			
বরেন্দ্র ভুমিতে কোন গাছ সবচেয়ে বেশি ?	উঃ শাল গাছ।			
দেশের প্রথম ইকোপার্ক ও বোটানিক্যাল গার্ডেন কবে কোথায় উদ্ধোধন করা হয় ?	উঃ ১৭ জানু ২০০১, চন্দ্রনাথ পাহাড়ে।			
সুন্দরবন কোন দুটি দেশে বিস্তৃত?	উঃ বাংলাদেশ-ভারত।			
বাংলাদেশের দীর্ঘতম গাছের নাম কি ?	উঃ বৈলাম গাছ।			
সুন্দরবনের মোট আয়তন কত ?	উঃ ৬০১৭ বর্গ কি. মি।			
বাংলাদেশের বন গবেষণা কেন্দ্র কোথায় ?	উঃ চট্টগ্রামে।			
উপকুলীয় সবুজ বেষ্টনীয় বনাঞ্চলে সৃজন করা হয়েছে ?	উঃ ১০টি জেলায়।			
ক্রান্তীয় বনাঞ্চলের প্রধান গাছ হল কোনটি?	উঃ শাল বা গজারী।			
পরিবেশ রক্ষার ক্ষেত্রে কোন গাছটি ক্ষতিকারক?	উঃ ইউক্লিপটাস।			
কোন দেশের পরিবেশের ভারসাম্য রক্ষার জন্য বনাঞ্চল থাকা প্রয়োজন মোট ভুমির?	উঃ ২৫ শতাংশ।			
বাংলাদেশের বনাঞ্চলের পরিমাণ মোট ভুমির কত শতাংশ?	উঃ ১৭%।			
বাংলাদেশের জাতীয় বননীতি কোন সালে প্রনীত হয়?	উঃ ১৯৭৯ সালে।
প্রানিজ আমিষের প্রধান উৎস কি?	উঃ মাছ।			
বাংলাদেশে কয়টি সরকারী মৎস্য প্রজনন কেন্দ্র হ্যাচারী ও খামার আছে?	উঃ ৮৬টি।			
বাংলাদেশের স্বাদু পানিতে মাছের প্রজাতির সংখ্যা কত?	উঃ ২৭০।			
বর্তমানে সমুদ্র উপকুল থেকে পাওয়া যায় মোট মৎস্য উৎপাদনের শতকরা কত ভাগ?	উঃ ২৭ ভাগ।			
চিংড়ি চাষ কর আইন কবে প্রণীত হয়?	উঃ ১৯৯২ সালে।			
বাংলাদেশে সামুদ্রিক জলাশয়ের মোট আয়তন কত?	উঃ ১,৬৬,০০০ বর্গ কি.মি।			
বাংলাদেশের একমাত্র মৎস্য গবেষণা ইনষ্টিটিউট কোথায় অবস্থিত?	উঃ ময়মনসিংহ।			
চিংড়ি মাছের উপর গবেষণা হয় কোথায়?	উঃ খুলনার পাইকগাছায়।			
বাংলাদেশের মৎস্য আইনে কত সেন্টিমিটারের কম হলে রুই (কার্প) জাতীয় মাছ ধরা নিষেধ?	উঃ ২৩ সেন্টিমিটার।			
বঙ্গোপসাগরের মৎস্য চারণ ক্ষেত্র কয়টি?	উঃ চারটি।			
নিমগ্ন মহাগহবর কি?	উঃ একটি মৎস্যচারণ ক্ষেত্র।			
রেনু পোনা কখন ছাড়ে?	উঃ বর্ষাকালে।			
বাংলাদেশের প্রধান প্রাণিজ সম্পদ?	উঃ মাছ।			
পুকুরে কোন মাছ বাচেঁ না?	উঃ ইলিশ।			
বাংলাদেশের প্রধান খনিজ সম্পদ কি?	উঃ প্রাকৃতিক গ্যাস।			
প্রাকৃত গ্যাস কি ?	উঃ প্রাকৃত গ্যাস হচ্ছে প্রকৃতিতে তৈরী হাইড্রোকার্বন।			
প্রাকৃত গ্যাস কিভাবে থাকে?	উঃ সাধারণত মিথেন, ইথেন, প্রোপেন, বিউটেন  সামান্য পরিমাণে মিশ্রিত অবস্থায় থাকে।
বাংলাদেশের গ্যাস ও তেল ক্ষেত্রের তত্ত্বাবধানের মূল দায়িত্ব পালন করে কোন মন্ত্রনালয়?	উঃ জ্বালানী ও খনিজ সম্পদ মন্ত্রনালয়।			
বাংলাদেশে বর্তমানে কত ভাগ মানুষ গ্যাস সুবিধা পাচ্ছে?	উঃ ১৪ ভাগ মানুষ।			
সিলেটের হরিপুরে তথা বাংলাদেশের প্রথম কবে গ্যাস আবিষ্কৃত হয়েছে?	উঃ ১৯৫৫ সালে।			
পাকিস্তান আমলে (১৯৫১-১৯৭১) পর্যন্ত কয়টি গ্যাস ক্ষেত্র আবিষ্কৃত হয়েছিল?	উঃ ৮টি।			
কোন সাল থেকে বাংলাদেশ ভূ-খন্ডে তেল গ্যাস অনুসন্ধান শুরু হয়?	উঃ ১৯১০ সালে।			
কবে, কোথায় প্রথম অনুসন্ধান কূপ খনন করা হয়?	উঃ ১৯১০ সালে। চট্টগ্রামের সীতাকুন্ডে।			
কোন সাল থেকে কোথায় বাংলাদেশে প্রথম গ্যাস উত্তোলন শুরু হয়?	উঃ ১৯৫৭ সালে (সিলেটের হরিপুরে)।			
কোন সালে ছাতকে গ্যাস আবিষ্কৃত হয়?	উঃ ১৯৫৯ সালে।			
কবে পেট্রোলিয়াম আইন পাস হয়েছে?	উঃ ১৯৭৪ সালে।			
পিএসসি পূর্ণরূপ কি?	উঃ (Production Sharing Contract) প্রাকৃতিক গ্যাস অনুসন্ধানের উৎপাদন বন্টন চুক্তি।
দেশের একমাত্র তেল শোধনাগার কোথায় অবস্থিত?	উঃ ইর্স্টান রিফাইনারী লিঃ চট্টগ্রামের পতেঙ্গায়।			
বাংলাদেশে বর্তমানে জুন ২০০৫ পর্যন্ত গ্যাস ফিল্ডের সংখ্যা কত?	উঃ ২৫ টি।			
সর্বশেষ গ্যাস ক্ষেত্রটির নাম কি?	উঃ কুমিল্লার ভাঙ্গুরা।			
তিতাস গ্যাস ক্ষেত্র কোথায় অবস্থিত?	উঃ ব্রাহ্মনবাড়িয়া।			
ঢাকার সরবরাহ কৃত গ্যাস কোন গ্যাস ক্ষেত্র থেকে আসে?	উঃ তিতাস গ্যাস ক্ষেত্র।			
তিতাস-ঢাকা গ্যাস লাইন দৈর্ঘ্য কত?	উঃ ৯০ কিলোমিটার।			
দৈনিক সবচেয়ে বেশি গ্যাস উত্তোলন করা হয় কোন গ্যাস ফিল্ড হতে?	উঃ বাখরাবাদ।			
বাংলাদেশের সবচেয়ে বড় গ্যাস ক্ষেত্র কোনটি?	উঃ বিবিয়ানা।			
১৯৯৭ সালে ১৪ জুন কোন গ্যাস ক্ষেত্রে অগ্নিকান্ড ঘটে?	উঃ মাগুরছড়া গ্যাস ক্ষেত্র।			
বাংলাদেশে চীনা মাটি পাওয়া গেছে?	উঃ নেত্রকোণার বিজয়পুর, নওগাঁর পত্নীতলা, চট্টগ্রামের পটিয়ায়।			
মাগুরছড়া গ্যাসক্ষেত্র কোন থানায় অবস্থিত?	উঃ কমলগঞ্জ, মৌলভীবাজার।			
মাগুরছড়া গ্যসক্ষেত্র কোন কোম্পানী ড্রিলি করে?	উঃ অক্সিডেন্টাল।			
দেশের প্রথম সামুদ্রিক গ্যাস ক্ষেত্রের নাম কি?	উঃ সাংগু।			
সাঙ্গু গ্যাস ক্ষেত্রে গ্যাস উত্তোলন করে কোন কোম্পানী?	উঃ কেয়ার্ন এনার্জি।			
গ্যাস ক্ষেত্রে অনুসন্ধান ও সম্প্রসারনের লক্ষ্যে সারাদেশকে কতটি ব্লকে বিভক্ত করেছে?	উঃ ২৩ টি ব্লকে।	
বাংলাদেশে গ্যাস উত্তোলনের জন্য আবেদনকৃত আইরিশ কোম্পানীটি কি?	উঃ ট্যাল্লো।			
বাংলাদেশে কোন গ্যাস ফিল্ডে প্রথম অগ্নিকান্ড ঘটে?	উঃ হরিপুর গ্যাস ক্ষেত্রে ১৯৫৫ সালে।			
পেট্টোবাংলা পরিত্যক্ত কোন গ্যাস ক্ষেত্রে গ্যাসের সন্ধান পায়?	উঃ ফেনী গ্যাস ক্ষেত্র।			
খনিজ তেল কি?	উঃ জটিল হাইড্রোকার্বন সমূহের মিশ্রন।
লর্ড ম্যাকলে কবে শিক্ষা কমিটির সভাপতি নিযুক্ত হন?	উঃ ১৮৩৪ সালে।			
উইলিয়াম এ্যাডাম কবে বাংলা ও বিহারের শিক্ষা বিষয়ক তথ্য সংগ্রহরের জন্য নিযুক্ত হন।	উঃ ২০ জানুয়ারী, ১৮৩৫।			
উইলিয়াম এ্যাডাম শিক্ষা বিষয়ক কয়টি বিবরনী দাখিল করেন?	উঃ ৩টি।			
উইলিয়াম এ্যাডাম কবে তাঁর শিক্ষা বিষয়ক তৃতীয় বিবরন কবে উপস্থাপন করেন?	উঃ ২৮ এপ্রিল, ১৯৩৮।			
লর্ড কার্জন কিসের ভিত্তিতে এদেশের শিক্ষা ব্যবস্থা সংস্কারে ব্রতী হন?	উঃ ১৯০১ সালের শিমলা শিক্ষা সম্মেলনে  গৃহিত ১৫০ টি শিক্ষা সংক্রান্ত প্রস্তাবনার ভিত্তিতে।
কবে ভারতীয় বিশ্ববিদ্যালয়ে আইন বিধিবদ্ধ হয়?	উঃ ১৯০৪ সালে।			
কবে উডের শিক্ষা দলিল প্রকাশিত হয়?	উঃ ১৮৫৩ সালে।			
হান্টার কমিশন কবে বড় লাট লর্ড রিপন কর্তৃক নিয়োগ লাভ করে?	উঃ ৩ ফেব্রুয়ারী, ১৮৮২ সাল।			
হান্টার কমিশন শিক্ষা সংস্কারে কয়টি প্রস্তাব পেশ করে?	উঃ ২২২টি।			
স্যাডলার কমিশন কবে গঠিত হয়?	উঃ ১৯১৭ সালে।			
স্যাডলার কমিশন কবে রিপোর্ট পেশ করে?	উঃ ১৯১৯ সালে।			
কোন কমিশন ঢাকায় একটি বিশ্ববিদ্যালয় প্রতিষ্ঠার সুপারিশ করে?	উঃ স্যাডলার কমিশন।			
পাকিসত্মানের প্রথম শিক্ষা কমিটির নাম কি?	উঃ আকরাম খান কমিটি।			
আকরাম খান কমিটি কবে রিপোর্ট পেশ করে?	উঃ ১৯৫২ সালে।			
আতাউর রহমান খান শিক্ষা কমিশন কবে গঠিত হয়?	উঃ ১৯৫৭ সালে।			
শরীফ কমিশন কবে গঠিত হয়?	উঃ ১৯৫৯ সালে।			
হামদুর রহমান শিক্ষা কমিটি কবে গঠিত হয়?	উঃ ১৯৬৪ সালে।			
এয়ার মার্র্শাল এম, নূর খানকে সভাপতি করে শিক্ষা কমিটি গঠিত হয়?	উঃ ১৯৬৯ সালে।			
শামস-উল- হক শিক্ষা কমিটি কবে গঠিত হয়?	উঃ ১৯৭০ সালে।			
কুদরত-ই- খুদা শিক্ষা কমিশন কবে গঠিত হয়?	উঃ ২৬ জুলাই, ১৯৭২ সাল।			
কুদরত-ই- খুদা শিক্ষা কমিশন কবে রিপোর্ট পেশ করে?	উঃ ৩০ মে, ১৯৭৪ সাল।			
জাতীয় শিক্ষা পরিষদ কবে রিপোর্ট পেশ করে?	উঃ ৫ আগষ্ট, ১৯৭৫ সাল।			
জাতীয় শিক্ষা কমিশন কবে গঠিত হয়?	উঃ ২৩ এপ্রিল,১৯৮৭ সাল।			
জাতীয় শিক্ষা কমিশনের চেয়ারম্যান কে ছিলেন?	উঃ অধ্যাপক মফিজ উদ্দিন আহমেদ।			
জাতীয় শিক্ষা কমিশন রিপোর্ট পেশ করে?	উঃ ২৬ ফেব্রম্নয়ারী, ১৯৮৮ সাল।			
অধ্যাপক এম. শামসুল হক শিক্ষা কমিটি কবে গঠিত হয়?	উঃ ১৯৯৭ সালে।			
মোট কতটি (বাংলাদেশ আমল ২০০৯ পর্যন্তু) শিক্ষা কমিশন ও শিক্ষা কমিটি গঠন করা হয়?	উঃ ৮টি।			
সপ্তম শিক্ষা কমিশনের চেয়ারম্যান কে?	উঃ অধ্যাপক মনিরুজ্জামান মিঞা।			
সপ্তম শিক্ষা কমিশনের সদস্য সংখ্যা কত?	উঃ ২৪ জন।			
মনিরুজ্জামান শিক্ষা কমিশন কখন গঠন করা হয়?	উঃ ২০০৩ সালে।			
সপ্তম শিক্ষা কমিশন কবে রিপোর্ট পেশ করে?	উঃ ৩১ মার্চ, ২০০৪ সালে।			
৮ম শিক্ষা কমিশনের চেয়ারম্যান কে?	উঃ জাতীয় অধ্যাপক কবির চৌধুরী।			
৮ম শিক্ষা কমিশনের সদস্য সংখ্যা কত?	উঃ ১৮ জন।			
৮ম শিক্ষা কমিশন কখন গঠন করা হয়?	উঃ ০৬ এপ্রিল, ২০০৯ সালে।			
৮ম শিক্ষা কমিশন কবে রিপোর্ট পেশ করে?	উঃ সেপ্টেম্বর, ২০০৯ সালে।			
বাংলাদেশের বর্তমান শিক্ষার হার কত?	উঃ ৬৩%।			
বাংলাদেশের শিক্ষার হার কোন বিভাগে বেশী?	উঃ বরিশালে (৭৬.৭%)			
বাংলাদেশের শিক্ষার হার কোন বিভাগে কম?	উঃ সিলেট (৫৫%)			
বাংলাদেশের শিক্ষার হার কোন জেলায় বেশী?	উঃ বরগুনা (৮৬.৫৫%) / ঢাকা।			
বাংলাদেশের শিক্ষার হার কোন জেলায় কম?	উঃ জামালপুর (৩৯.৫৫%)			
বাংলাদেশের প্রথম নিরক্ষরমুক্ত জেলা কোনটি?	উঃ ডিসেম্বর, ১৯৯৮ সালে, মাগুরা।			
প্রাথমিক বাধ্যতামূলক আইন পাশ হয় কবে?	উঃ ১৯৯০।			
বাধ্যতামূলক প্রাথমিক শিক্ষা চালু হয়?	উঃ ১ জানুয়ারী, ১৯৯২।			
বাংলাদেশে খাদ্যের বিনিময়ে শিক্ষা চালু হয়?	উঃ ১৯৯৩।			
বেসরকারী বিশ্ববিদ্যালয় বিল পাশ হয় কবে?	উঃ ০৫ আগষ্ট, ১৯৯২।			
জাতীয় বিশ্ববিদ্যালয় কার্যক্রম কবে শুরু হয়?	উঃ ১৯৯২-১৯৯৩ সনে।			
বাংলাদেশের প্রথম পাঠাগার কোনটি এবং কবে প্রতিষ্ঠিত হয়?	উঃ রাজা রামমোহন রায় লাইব্রেরী, বাংলা ১৩১৩ ঢাকার পাটুয়াটুলিতে।			
উপমহাদেশের কবে প্রথম নৈশ বিদ্যালয় চালু হয়?	উঃ ১৯১৮ সালে।			
ন্যাপ (NAPE) প্রতিষ্ঠিত হয় কবে?	উঃ ১৯৭৭ সালে।			
নায়েম (NAEM) প্রতিষ্ঠিত হয় কবে?	উঃ ১৯৮১ সালে।			
মাদ্রাসা শিক্ষা বোর্ড কবে প্রতিষ্ঠিত হয়?	উঃ ১৯৭৮ সালে।			
প্রাথমিক শিক্ষা আইন জারি হয় কত সালে?	উঃ ১৯৭৪ সালে।			
বাংলাদেশে প্রাইমারী স্কুলের সংখ্যা কত?	উঃ ৮০, ৩৯৭ টি (সরকারী ৩৭,৬৭২ টি ও বেসরকারী ৪২,৭২৫ টি)।			
দেশে মাধ্যমিক ও নিম্ন মাধ্যমিক বিদ্যালয় মোট কতটি?	উঃ ১৮,৫০০ টি (বালিকা-৩৭০৮টি)			
দেশে নিম্ন মাধ্যমিক বিদ্যালয় মোট কতটি? (নিম্ন মাধ্যমিক সবগুলো বেসরকারী)	উঃ ৪,৩২২ টি (বালিকা-১২৪৭টি)			
দেশে সরকারী মাধ্যমিক বিদ্যালয় মোট কতটি?	উঃ ৩১৭ টি (বালিকা-১৪৭টি)			
